Entity,Year,Annual CO₂ emissions (per capita)
Afghanistan,2023,0.26583755
Albania,2023,1.8296527
Algeria,2023,3.8586802
Andorra,2023,5.244343
Angola,2023,0.56545913
Antigua and Barbuda,2023,6.911837
Argentina,2023,4.2998033
Armenia,2023,2.584923
Australia,2023,14.478505
Austria,2023,6.415725
Azerbaijan,2023,4.2582173
Bahamas,2023,6.272632
Bahrain,2023,23.271013
Bangladesh,2023,0.6615086
Barbados,2023,4.2215004
Belarus,2023,6.197136
Belgium,2023,7.1177025
Belize,2023,1.6247674
Benin,2023,0.3963094
Bhutan,2023,2.178551
Bolivia,2023,1.9078085
Bosnia and Herzegovina,2023,6.3356104
Botswana,2023,2.7068784
Brazil,2023,2.3040092
Brunei,2023,25.646858
Bulgaria,2023,5.311196
Burkina Faso,2023,0.2686812
Burundi,2023,0.05184301
Cambodia,2023,1.1580942
Cameroon,2023,0.3503871
Canada,2023,13.977411
Cape Verde,2023,1.0242758
Central African Republic,2023,0.054579318
Chad,2023,0.15939671
Chile,2023,3.9314575
China,2023,8.366814
Colombia,2023,2.0114
Comoros,2023,0.52771086
Congo,2023,1.2412342
Costa Rica,2023,1.621601
Cote d'Ivoire,2023,0.42340288
Croatia,2023,4.497998
Cuba,2023,2.0959787
Cyprus,2023,5.3342433
Czechia,2023,7.92107
Democratic Republic of Congo,2023,0.0436333
Denmark,2023,4.5837965
Djibouti,2023,0.42721647
Dominica,2023,2.4528415
Dominican Republic,2023,2.8257916
East Timor,2023,0.45665762
Ecuador,2023,2.4011562
Egypt,2023,2.3486664
El Salvador,2023,1.304408
Equatorial Guinea,2023,3.3241498
Eritrea,2023,0.17887679
Estonia,2023,7.3282313
Eswatini,2023,0.8973983
Ethiopia,2023,0.118322685
Fiji,2023,1.2402701
Finland,2023,5.6456437
France,2023,4.101157
Gabon,2023,2.1776652
Gambia,2023,0.26351094
Georgia,2023,3.091041
Germany,2023,7.051025
Ghana,2023,0.5814861
Greece,2023,5.388754
Greenland,2023,10.670095
Grenada,2023,2.8993738
Guatemala,2023,1.1245548
Guinea,2023,0.28064337
Guinea-Bissau,2023,0.13839415
Guyana,2023,4.290242
Haiti,2023,0.3026484
Honduras,2023,1.0373338
Hungary,2023,4.1491246
Iceland,2023,9.708997
India,2023,2.129469
Indonesia,2023,2.6075745
Iran,2023,9.026508
Iraq,2023,3.9148493
Ireland,2023,6.6260405
Israel,2023,6.4269466
Italy,2023,5.2682986
Jamaica,2023,2.6934605
Japan,2023,7.95029
Jordan,2023,1.8523093
Kazakhstan,2023,12.550943
Kenya,2023,0.38907567
Kiribati,2023,0.5207707
Kosovo,2023,4.9275312
Kuwait,2023,20.508173
Kyrgyzstan,2023,1.4352694
Laos,2023,3.235021
Latvia,2023,3.4600034
Lebanon,2023,3.3732815
Lesotho,2023,1.6824147
Liberia,2023,0.14036113
Libya,2023,8.346452
Liechtenstein,2023,3.9732652
Lithuania,2023,4.366298
Luxembourg,2023,10.5150585
Madagascar,2023,0.14349261
Malawi,2023,0.08303524
Malaysia,2023,8.2224455
Maldives,2023,3.9210675
Mali,2023,0.2844733
Malta,2023,3.4193249
Marshall Islands,2023,3.9515243
Mauritania,2023,0.8785841
Mauritius,2023,3.249939
Mexico,2023,3.7199361
Micronesia (country),2023,1.3276674
Moldova,2023,1.9439814
Mongolia,2023,13.657199
Montenegro,2023,3.6754034
Morocco,2023,1.82082
Mozambique,2023,0.23854187
Myanmar,2023,0.5584913
Namibia,2023,1.408754
Nauru,2023,4.8522363
Nepal,2023,0.56162494
Netherlands,2023,6.558991
New Caledonia,2023,17.48445
New Zealand,2023,5.8226275
Nicaragua,2023,0.8189818
Niger,2023,0.09929863
Nigeria,2023,0.5640604
North Korea,2023,2.3000948
North Macedonia,2023,4.0665092
Norway,2023,7.0484023
Oman,2023,15.5492115
Pakistan,2023,0.8107599
Palau,2023,12.556051
Palestine,2023,0.64647776
Panama,2023,3.1440282
Papua New Guinea,2023,0.8009956
Paraguay,2023,1.189241
Peru,2023,1.6505452
Philippines,2023,1.3454357
Poland,2023,7.4628654
Portugal,2023,3.5690997
Qatar,2023,38.842007
Romania,2023,3.569303
Russia,2023,12.485692
Rwanda,2023,0.110374995
Saint Kitts and Nevis,2023,4.9948015
Saint Lucia,2023,2.85322
Saint Vincent and the Grenadines,2023,2.3416662
Samoa,2023,1.1855699
Sao Tome and Principe,2023,0.7198723
Saudi Arabia,2023,22.132036
Senegal,2023,0.6583115
Serbia,2023,6.253774
Seychelles,2023,4.3078337
Sierra Leone,2023,0.14556001
Singapore,2023,8.507941
Slovakia,2023,5.5706987
Slovenia,2023,5.347735
Solomon Islands,2023,0.37855327
Somalia,2023,0.03037349
South Africa,2023,6.3578267
South Korea,2023,11.158091
South Sudan,2023,0.13763057
Spain,2023,4.6255174
Sri Lanka,2023,0.88446397
Sudan,2023,0.39968732
Suriname,2023,4.2100472
Sweden,2023,3.464577
Switzerland,2023,3.6905727
Syria,2023,1.0808959
Taiwan,2023,11.200046
Tajikistan,2023,0.8714852
Tanzania,2023,0.27119046
Thailand,2023,3.6873055
Togo,2023,0.28159434
Tonga,2023,1.9062879
Trinidad and Tobago,2023,22.834675
Tunisia,2023,2.6878552
Turkey,2023,4.9510155
Turkmenistan,2023,8.603915
Tuvalu,2023,1.174908
Uganda,2023,0.1153731
Ukraine,2023,3.6164997
United Arab Emirates,2023,21.554457
United Kingdom,2023,4.4428277
United States,2023,14.299027
Uruguay,2023,2.3216877
Uzbekistan,2023,3.4995937
Vanuatu,2023,0.7059308
Venezuela,2023,3.5182343
Vietnam,2023,3.335515
Yemen,2023,0.2547525
Zambia,2023,0.37391192
Zimbabwe,2023,0.68320066
